BehaviorSpace results (NetLogo 6.1.1),,,,,,,
PingModel.nlogo,,,,,,,
experiment,,,,,,,
03/03/2021 14:45:04:878 -0700,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,
-50,50,-50,50,,,,
[run number],surface-tension,sustain,dis,[step],mag,,
2,60,0.99,20,60,2.773373139,,-1.454022392
3,60,0.991,10,60,5.277402989,,
1,60,0.99,10,60,5.194903419,,-4.476456807
4,60,0.991,20,60,2.873786446,,
6,60,0.992,20,60,2.974130955,,-1.634054307
5,60,0.992,10,60,5.360306592,,
7,60,0.993,10,60,5.44359387,,-4.061782919
9,60,0.994,10,60,5.527243806,,
10,60,0.994,20,60,3.173724646,,-2.405177828
8,60,0.993,20,60,3.074187272,,
11,60,0.995,10,60,5.611234709,,-4.793109487
12,60,0.995,20,60,3.272500887,,
13,60,0.996,10,60,5.695544211,,-4.852978638
14,60,0.996,20,60,3.370262292,,
15,60,0.997,10,60,5.780149259,,-4.913463357
16,60,0.997,20,60,3.466743608,,
17,60,0.998,10,60,5.865026108,,-4.974609108
18,60,0.998,20,60,3.561668002,,
19,60,0.999,10,60,5.950150313,,-5.036463545
20,60,0.999,20,60,3.654747072,,
21,61,0.99,10,60,3.694942637,,-3.041341008
22,61,0.99,20,60,2.614406516,,
23,61,0.991,10,60,3.778831132,,-3.117173337
24,61,0.991,20,60,2.646631181,,
25,61,0.992,10,60,3.862846147,,-2.876109957
27,61,0.993,10,60,3.946944762,,
26,61,0.992,20,60,2.68049216,,-1.988390571
28,61,0.993,20,60,2.768406354,,
29,61,0.994,10,60,4.031082941,,-3.317133332
30,61,0.994,20,60,2.855798434,,
31,61,0.995,10,60,4.115215529,,-3.379603636
32,61,0.995,20,60,2.942447575,,
33,61,0.996,10,60,4.199296253,,-3.442265777
34,61,0.996,20,60,3.028121901,,
35,61,0.997,10,60,4.283277716,,-3.505133121
36,61,0.997,20,60,3.112578377,,
37,61,0.998,10,60,4.367111402,,-3.568220724
38,61,0.998,20,60,3.195562711,,
39,61,0.999,10,60,4.450747676,,-3.631545355
40,61,0.999,20,60,3.276809284,,
41,62,0.99,10,60,4.585315412,,-3.871900132
42,62,0.99,20,60,2.853661122,,
43,62,0.991,10,60,4.643029841,,-3.916620296
44,62,0.991,20,60,2.905638181,,
45,62,0.992,10,60,4.700741397,,-3.962038825
46,62,0.992,20,60,2.954810285,,
47,62,0.993,10,60,4.758429293,,
48,62,0.993,20,60,3.000942135,,
49,62,0.994,10,60,4.816072228,,
50,62,0.994,20,60,3.043793845,,
51,62,0.995,10,60,4.873648375,,
52,62,0.995,20,60,3.083121282,,
53,62,0.996,10,60,4.931135386,,
54,62,0.996,20,60,3.118676446,,
55,62,0.997,10,60,4.988510378,,
56,62,0.997,20,60,3.150207859,,
57,62,0.998,10,60,5.045749937,,
58,62,0.998,20,60,3.177460995,,
60,62,0.999,20,60,3.200178733,,
59,62,0.999,10,60,5.10283011,,
61,63,0.99,10,60,3.715625771,,
62,63,0.99,20,60,1.881221203,,
63,63,0.991,10,60,3.7881071,,
64,63,0.991,20,60,1.953042727,,
65,63,0.992,10,60,3.86145676,,
66,63,0.992,20,60,2.02516569,,
67,63,0.993,10,60,3.935674076,,
68,63,0.993,20,60,2.097445949,,
69,63,0.994,10,60,4.010758068,,
70,63,0.994,20,60,2.169730024,,
71,63,0.995,10,60,4.086707435,,
72,63,0.995,20,60,2.241854869,,
73,63,0.996,10,60,4.163520554,,
74,63,0.996,20,60,2.313647647,,
75,63,0.997,10,60,4.241195468,,
76,63,0.997,20,60,2.384925515,,
77,63,0.998,10,60,4.319729883,,
78,63,0.998,20,60,2.455495409,,
79,63,0.999,10,60,4.39912116,,
80,63,0.999,20,60,2.525153851,,
81,64,0.99,10,60,3.924833513,,
82,64,0.99,20,60,1.558951864,,
83,64,0.991,10,60,3.989441142,,
84,64,0.991,20,60,1.625468785,,
85,64,0.992,10,60,4.053325989,,
86,64,0.992,20,60,1.692685072,,
87,64,0.993,10,60,4.11642647,,
88,64,0.993,20,60,1.760491341,,
89,64,0.994,10,60,4.178680166,,
91,64,0.995,10,60,4.240023866,,
90,64,0.994,20,60,1.828769856,,
92,64,0.995,20,60,1.897394274,,
93,64,0.996,10,60,4.300393602,,
94,64,0.996,20,60,1.966229376,,
95,64,0.997,10,60,4.359724688,,
96,64,0.997,20,60,2.035130813,,
97,64,0.998,10,60,4.417951762,,
98,64,0.998,20,60,2.103944853,,
99,64,0.999,10,60,4.475008828,,
100,64,0.999,20,60,2.172508128,,
101,65,0.99,10,60,3.560494931,,
102,65,0.99,20,60,1.224124896,,
103,65,0.991,10,60,3.592477904,,
104,65,0.991,20,60,1.285645962,,
105,65,0.992,10,60,3.654031981,,
106,65,0.992,20,60,1.348315247,,
107,65,0.993,10,60,3.716214089,,
108,65,0.993,20,60,1.412062267,,
110,65,0.994,20,60,1.476809455,,
109,65,0.994,10,60,3.779021475,,
111,65,0.995,10,60,3.842451111,,
112,65,0.995,20,60,1.542471881,,
113,65,0.996,10,60,3.906499691,,
114,65,0.996,20,60,1.608956968,,
115,65,0.997,10,60,3.971163625,,
116,65,0.997,20,60,1.676164209,,
117,65,0.998,10,60,4.036439033,,
119,65,0.999,10,60,4.10232174,,
118,65,0.998,20,60,1.743984884,,
120,65,0.999,20,60,1.81230177,,
122,66,0.99,20,60,1.239553774,,
123,66,0.991,10,60,3.884150547,,
121,66,0.99,10,60,3.828986191,,
124,66,0.991,20,60,1.265064295,,
126,66,0.992,20,60,1.289908489,,
127,66,0.993,10,60,3.993606273,,
125,66,0.992,10,60,3.939035107,,
128,66,0.993,20,60,1.314009418,,
130,66,0.994,20,60,1.337287359,,
129,66,0.994,10,60,4.047829731,,
131,66,0.995,10,60,4.101670452,,
133,66,0.996,10,60,4.155092689,,
132,66,0.995,20,60,1.359659803,,
134,66,0.996,20,60,1.384273206,,
135,66,0.997,10,60,4.208059978,,
136,66,0.997,20,60,1.429509036,,
137,66,0.998,10,60,4.260535139,,
138,66,0.998,20,60,1.47577815,,
139,66,0.999,10,60,4.313196812,,
140,66,0.999,20,60,1.523084104,,
142,67,0.99,20,60,1.261498065,,
141,67,0.99,10,60,4.000914681,,
143,67,0.991,10,60,4.097822331,,
144,67,0.991,20,60,1.293866319,,
145,67,0.992,10,60,4.195286814,,
146,67,0.992,20,60,1.326015029,,
147,67,0.993,10,60,4.293259452,,
148,67,0.993,20,60,1.357881673,,
149,67,0.994,10,60,4.391689782,,
150,67,0.994,20,60,1.389400903,,
151,67,0.995,10,60,4.490525551,,
152,67,0.995,20,60,1.420504506,,
153,67,0.996,10,60,4.589712701,,
154,67,0.996,20,60,1.451121378,,
155,67,0.997,10,60,4.689195358,,
157,67,0.998,10,60,4.788915824,,
156,67,0.997,20,60,1.481177492,,
158,67,0.998,20,60,1.510595877,,
159,67,0.999,10,60,4.888814569,,
160,67,0.999,20,60,1.539296596,,
161,68,0.99,10,60,4.100877503,,
162,68,0.99,20,60,1.25404586,,
163,68,0.991,10,60,4.17493178,,
164,68,0.991,20,60,1.29313548,,
165,68,0.992,10,60,4.248671504,,
166,68,0.992,20,60,1.332492353,,
167,68,0.993,10,60,4.32203416,,
168,68,0.993,20,60,1.372071647,,
169,68,0.994,10,60,4.394955558,,
170,68,0.994,20,60,1.411825821,,
171,68,0.995,10,60,4.467369823,,
172,68,0.995,20,60,1.451704566,,
174,68,0.996,20,60,1.491654737,,
173,68,0.996,10,60,4.539209397,,
175,68,0.997,10,60,4.610405036,,
176,68,0.997,20,60,1.531620301,,
177,68,0.998,10,60,4.680885814,,
178,68,0.998,20,60,1.571542274,,
179,68,0.999,10,60,4.750579123,,
180,68,0.999,20,60,1.61135867,,
181,69,0.99,10,60,3.793203723,,
182,69,0.99,20,60,1.193306707,,
183,69,0.991,10,60,3.842113979,,
184,69,0.991,20,60,1.237878298,,
185,69,0.992,10,60,3.889993472,,
186,69,0.992,20,60,1.283219964,,
187,69,0.993,10,60,3.936770954,,
188,69,0.993,20,60,1.329308509,,
189,69,0.994,10,60,3.982373625,,
191,69,0.995,10,60,4.026727131,,
190,69,0.994,20,60,1.376118399,,
192,69,0.995,20,60,1.423621688,,
193,69,0.996,10,60,4.069755578,,
194,69,0.996,20,60,1.471787932,,
195,69,0.997,10,60,4.111381532,,
196,69,0.997,20,60,1.520584109,,
197,69,0.998,10,60,4.15152603,,
198,69,0.998,20,60,1.569974538,,
199,69,0.999,10,60,4.190108589,,
200,69,0.999,20,60,1.619920796,,
201,70,0.99,10,60,3.305730349,,
202,70,0.99,20,60,1.030499986,,
203,70,0.991,10,60,3.332096381,,
204,70,0.991,20,60,1.05551769,,
205,70,0.992,10,60,3.356900165,,
206,70,0.992,20,60,1.081015857,,
208,70,0.993,20,60,1.107000996,,
207,70,0.993,10,60,3.380065195,,
209,70,0.994,10,60,3.401513509,,
210,70,0.994,20,60,1.133479653,,
211,70,0.995,10,60,3.421165701,,
212,70,0.995,20,60,1.16045841,,
213,70,0.996,10,60,3.43894093,,
214,70,0.996,20,60,1.187943887,,
215,70,0.997,10,60,3.45475693,,
216,70,0.997,20,60,1.215942742,,
217,70,0.998,10,60,3.548386422,,
218,70,0.998,20,60,1.244461667,,
219,70,0.999,10,60,3.677561648,,
220,70,0.999,20,60,1.273507393,,
221,71,0.99,10,60,3.429016208,,
222,71,0.99,20,60,1.005760478,,
223,71,0.991,10,60,3.498425193,,
225,71,0.992,10,60,3.56844355,,
224,71,0.991,20,60,1.029472082,,
226,71,0.992,20,60,1.053621786,,
227,71,0.993,10,60,3.63905909,,
228,71,0.993,20,60,1.07821506,,
229,71,0.994,10,60,3.710259049,,
230,71,0.994,20,60,1.10325739,,
231,71,0.995,10,60,3.782030078,,
232,71,0.995,20,60,1.128754285,,
233,71,0.996,10,60,3.854358228,,
234,71,0.996,20,60,1.154711272,,
235,71,0.997,10,60,3.92722895,,
236,71,0.997,20,60,1.181133899,,
237,71,0.998,10,60,4.00062708,,
238,71,0.998,20,60,1.208027733,,
239,71,0.999,10,60,4.113804457,,
